time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-08 00:00:00+00:00,19,9,0,0
2026-08-09 00:00:00+00:00,8,4,2,2
2026-08-10 00:00:00+00:00,9,4,0,0
2026-08-11 00:00:00+00:00,10,5,1,1
2026-08-12 00:00:00+00:00,2,2,1,1
2026-08-13 00:00:00+00:00,13,4,0,0
2026-08-14 00:00:00+00:00,5,5,1,1
2026-08-15 00:00:00+00:00,243,243,3,2
2026-08-16 00:00:00+00:00,11,6,1,1
2026-08-17 00:00:00+00:00,12,12,2,2
2026-08-18 00:00:00+00:00,1,1,0,0
2026-08-19 00:00:00+00:00,16,7,1,1
2026-08-20 00:00:00+00:00,9,7,1,1
2026-08-21 00:00:00+00:00,7,5,0,0
