time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-18 00:00:00+00:00,32,8,3,1
2026-06-19 00:00:00+00:00,27,8,3,2
2026-06-20 00:00:00+00:00,35,11,1,1
2026-06-21 00:00:00+00:00,53,13,0,0
2026-06-22 00:00:00+00:00,21,6,1,1
2026-06-23 00:00:00+00:00,40,11,0,0
2026-06-24 00:00:00+00:00,16,6,0,0
2026-06-25 00:00:00+00:00,16,6,1,1
2026-06-26 00:00:00+00:00,15,5,0,0
2026-06-27 00:00:00+00:00,18,8,1,1
2026-06-28 00:00:00+00:00,20,7,1,1
2026-06-29 00:00:00+00:00,9,4,0,0
2026-06-30 00:00:00+00:00,14,8,4,4
2026-07-01 00:00:00+00:00,23,7,1,1
